invoice_number,account_number,interval_start,interval_end,kwh,bill_credits,price
2022120000512891,30010320353,2022-09-01,2022-10-12,3668,695.91,612.40
2022120000512891,30010320361,2022-09-01,2022-10-12,659,125.03,110.03
2022120000512891,30010601281,2022-09-01,2022-10-12,2528,479.62,422.07
2022120000512891,30010894035,2022-09-01,2022-10-12,3881,736.32,647.96
2022120000512891,35012787137,2022-09-01,2022-10-12,927,175.88,154.78
2022120000512891,35012787756,2022-09-01,2022-10-12,941,178.53,157.11
2022120000512891,35012790198,2022-09-01,2022-10-12,1250,237.16,208.71
