invoice_number,account_number,supplier,interval_start,interval_end,kwh,bill_credits,price
2023040000609881,35012787137,Ampion,2023-01-12,2023-02-09,136,33.48,28.46
2023040000609881,35012787756,Ampion,2023-01-12,2023-02-09,138,33.97,28.87
2023040000609881,30010320353,Ampion,2023-01-12,2023-02-09,536,131.94,112.15
2023040000609881,30010601281,Ampion,2023-01-12,2023-02-09,370,91.08,77.42
2023040000609881,30010320361,Ampion,2023-01-12,2023-02-09,96,23.63,20.09
2023040000609881,30010894035,Ampion,2023-01-12,2023-02-09,567,139.58,118.64
2023040000609881,35012790198,Ampion,2023-01-12,2023-02-09,183,45.05,38.29
