invoice_number,account_number,interval_start,interval_end,kwh,bill_credits,price
2023020000558619,30010320353,2022-11-10,2022-12-12,1523,288.95,245.61
2023020000558619,30010601281,2022-11-10,2022-12-12,1050,199.21,169.33
2023020000558619,35012787137,2022-11-10,2022-12-12,385,73.04,62.08
2023020000558619,35012787756,2022-11-10,2022-12-12,391,74.18,63.05
2023020000558619,30010894035,2022-11-10,2022-12-12,1611,305.65,259.80
2023020000558619,35012790198,2022-11-10,2022-12-12,519,98.47,83.70
2023020000558619,30010320361,2022-11-10,2022-12-12,274,51.98,44.18
