invoice_number,account_number,supplier,interval_start,interval_end,kwh,bill_credits,price
2023100000830629,35012787756,Ampion,2023-07-13,2023-08-10,759,183.11,155.64
2023100000830629,30010601281,Ampion,2023-07-13,2023-08-10,1968,474.79,403.57
2023100000830629,30010320353,Ampion,2023-07-13,2023-08-10,3152,760.44,646.37
2023100000830629,30010320361,Ampion,2023-07-13,2023-08-10,617,148.86,126.53
2023100000830629,35012787137,Ampion,2023-07-13,2023-08-10,722,174.19,148.06
2023100000830629,30010894035,Ampion,2023-07-13,2023-08-10,3633,876.49,745.02
2023100000830629,35012790198,Ampion,2023-07-13,2023-08-10,1092,263.45,223.93
