invoice_number,account_number,supplier,interval_start,interval_end,kwh,bill_credits,price
2023080000758144,30010601281,Ampion,2023-05-11,2023-06-11,2352,578.98,492.13
2023080000758144,35012790198,Ampion,2023-05-11,2023-06-11,1305,321.25,273.06
2023080000758144,30010320353,Ampion,2023-05-11,2023-06-11,3768,927.55,788.42
2023080000758144,30010320361,Ampion,2023-05-11,2023-06-11,737,181.42,154.21
2023080000758144,35012787137,Ampion,2023-05-11,2023-06-11,863,212.44,180.57
2023080000758144,35012787756,Ampion,2023-05-11,2023-06-11,907,223.27,189.78
2023080000758144,30010894035,Ampion,2023-05-11,2023-06-11,3768,927.55,788.42
