invoice_number,account_number,supplier,interval_start,interval_end,kwh,bill_credits,price
2023050000640394,35012787137,Ampion,2023-02-10,2023-03-12,329,80.99,68.84
2023050000640394,35012790198,Ampion,2023-02-10,2023-03-12,497,122.34,103.99
2023050000640394,35012787756,Ampion,2023-02-10,2023-03-12,346,85.17,72.39
2023050000640394,30010601281,Ampion,2023-02-10,2023-03-12,897,220.81,187.69
2023050000640394,30010320353,Ampion,2023-02-10,2023-03-12,1436,353.49,300.47
2023050000640394,30010320361,Ampion,2023-02-10,2023-03-12,281,69.17,58.79
2023050000640394,30010894035,Ampion,2023-02-10,2023-03-12,1436,353.49,300.47
